(wont sell instead theyll bring sing hotdog)=0.6666666666666666
(mango wood furnitur mango wood furnitur mango)=1.0
(mango black ice tea old town starbuck)=0.6666666666666666
(roast chicken mango pepper spici coconut butter)=0.6666666666666666
(preschoic drink blend pc kefir ferment milk)=1.0
(guess black satchel busi pad note book)=0.6666666666666666
(work comact ingénieur électriqu stgeorg ou saguenay)=0.6666666666666666
(want wear robandrich tshirt dccon guess wont)=0.6666666666666666
(tofu fri round scad boil spinach inat)=0.6666666666666666
(salsa chilean sea bass god ur mother)=0.6666666666666666
(clear throat pass hint fuck wtf guess)=0.6666666666666666
(harder thought myasshurt correct spell guess ill)=0.6666666666666666
(guess mean white peopl serial killer ry)=0.6666666666666666
(brand new game chocol treat work slgamingcon)=0.6666666666666666
(tri tho peopl tri noticedh notic day)=0.6666666666666666
(iamminniee hhahahaha speechless d jyj admin mean)=0.6666666666666666
(popcorn kernel broke bracket guess im head)=0.6666666666666666
(eat butt hotlin bling smell mango garita)=0.6666666666666666
(good just watch st pitch fastbal time)=0.6666666666666666
(look jihad camp usa acr guess let)=0.6666666666666666
(dd tweet th n th guess wait)=0.6666666666666666
(daisi guess list eventpoor wee girl fun)=0.6666666666666666
(wsu cougar day safecofield iner vs torontobluejaysand)=0.6666666666666666
(di ia di ia leav that painful)=0.6666666666666666
(kernel broke bracket guess im head orthodontist)=0.6666666666666666
(realli miss good stuff guess better stay)=0.6666666666666666
(chantier davi canada look coordonnateurtric matériel levi)=1.0
(wish levi stadium today barca vs man)=1.0
(serious french retail polit bad just bought)=0.6666666666666666
(leatriceeiseman serv trader joe mango slice colordesign)=1.0
(ride age year today leg felt aw)=0.6666666666666666
(weird talent guess actual im realli inni)=0.6666666666666666
(found stringsonlin director debut actor guess string)=0.6666666666666666
(scad boil spinach inat goat green mango)=0.6666666666666666
(mango frozen yoghurt swiss muesli passion fruit)=0.6666666666666666
(serv trader joe mango slice colordesign class)=0.6666666666666666
(guacamol sin eat entir bag tortilla chip)=0.6666666666666666
(ton fun thing consol instead just thought)=1.0
(hope your enjoy tune leav review calibraska)=0.6666666666666666
(good adam guess big question flavour favour)=0.6666666666666666
(rip hyperx fun year gonna reinstal window)=0.6666666666666666
(lol weird talent guess actual im realli)=1.0
(blueberri pomegran pineappl mango smoothi machin werent)=0.6666666666666666
(film write ebookr day ford gis degre)=0.6666666666666666
(littl sad robin barney broke guess ok)=0.6666666666666666
(bhi insecur abt der fav capac guess)=0.6666666666666666
(mango tree hous year didnt fruit singl)=0.6666666666666666
(jus pull gon loosen nd fye dat)=0.6666666666666666
(plsebig game moz ko mangotsfieldutdmango vet v)=0.6666666666666666
(want wing chines sushi mac n chees)=1.0
(bought caliallygogo secret pop charact originalfunko wonder)=1.0
(matchauk love matcha tropic smoothi matcha spinach)=1.0
(home ah guess ill entertain come yay)=0.6666666666666666
(tri mango almond bite southern bbq sunflow)=0.6666666666666666
(actual slept pretti good night time coupl)=0.6666666666666666
(nochil guess imma eat supper nice cold)=0.6666666666666666
(guess weekend studi got motiv god that)=1.0
(bch imag hire chargé comptesgest projet sttin)=1.0
(just your suppos coach think p umm)=0.6666666666666666
(lucythespenc love look reaction read d guess)=0.6666666666666666
(macharmon im cri coz didnt includ question)=1.0
(pop charact originalfunko wonder guess bring home)=0.6666666666666666
(gilt springlaned levi jysklv join eorf parti)=0.6666666666666666
(fun thing consol instead just thought varieti)=0.6666666666666666
(nokia n s anna bell free app)=0.6666666666666666
(kaylealexi want wing chines sushi mac n)=1.0
(foto mangocoast beachbound follow beachbound for summer year round)=1.0
(store tend win what favorit ok great)=0.6666666666666666
(membership valuabl join dawn levi md special)=0.6666666666666666
(crisp cocktail come way come enjoy new)=1.0
(u cut yes cut mango everyday famili)=1.0
(guess better date deserv break tbhthey look)=0.6666666666666666
(need girl eat butt hotlin bling smell)=0.6666666666666666
(atbb heall record brokenthoda drishyam ke liy)=0.6666666666666666
(ill stop love appl grow mango tree)=1.0
(imag hire chargé comptesgest projet sttin appli)=0.6666666666666666
(rememb rag bone men like entir differ)=0.6666666666666666
(offend call hunni guess shall stop rip)=0.6666666666666666
(twisti love ladi spread leg guess win)=1.0
(go end abl speak vietnames im abl)=0.6666666666666666
(tenor ukulel natur wood grain hard case)=0.6666666666666666
(want mango chees cake kailan ang libr)=0.6666666666666666
(havent sad night guess im oh nighti)=0.6666666666666666
(ok tho guess realli expect that gonna)=1.0
(boafranc senc hire planificateurtric fabric stgeorg appli)=1.0
(guess whos nxt canada arcticoil harper didnt)=0.6666666666666666
(downi isaaccastor id guess product cook kitchenbut)=1.0
(ridicul los tres wont let beer america)=0.6666666666666666
(sorbet top juici strawberri just ad delici)=0.6666666666666666
(culprit ssd die rip hyperx fun year)=0.6666666666666666
(panchoballard thought earli one emivirgin own guess)=0.6666666666666666
(want save yaqub memon mango peopl keep)=0.6666666666666666
(worth spicier better indian restaur call mango)=1.0
(rememb use wear britney spear tshirt iron)=1.0
(ayeshakiran just want make sure old watch)=1.0
(liter rag bone man naiv art wonder)=0.6666666666666666
(sure hear rag bone man shout old)=1.0
(michaelsoslul wish follow im follow limit dm)=1.0
(earli climb work gym actual open guess)=0.6666666666666666
(guess make desion nd storey build gotta)=0.6666666666666666
(want save gold wv membership valuabl join)=1.0
(chilean sea bass god ur mother teach)=0.6666666666666666
(thing consol instead just thought varieti cool)=0.6666666666666666
(guess just want perfect bc know got)=0.6666666666666666
(tri amanda better photograph didnt captur meal)=0.6666666666666666
(open randstad levi commi à la balanc)=0.6666666666666666
(ibristolpeopl plsebig game moz ko mangotsfieldutdmango vet)=0.6666666666666666
(fandom guy slay d jey x mtvhottest)=0.6666666666666666
(cut mango idk didnt know ther giant)=0.6666666666666666
(mycoopfood fresh mango diabet ice cream favourit)=1.0
(work caus ive wast time day guess)=0.6666666666666666
(half levi stadium fill friend senior guess)=1.0
(chanc im go end abl speak vietnames)=1.0
(laurengiraldo dont know jacobwhitesid person news just)=1.0
(burger fri wing pizza chicken strip mango)=0.6666666666666666
(just wasnt meant home tonight sport jay)=0.6666666666666666
(stranger feel odd girl high school hang)=0.6666666666666666
(opérateur coupeur – plasma oxypropan appli levi)=0.6666666666666666
(thought fresh start happi guess shouldnt hope)=1.0
(guess season cast niti episod man request)=0.6666666666666666
(mdfuntimeguy lol hes just inquir mind guess)=0.6666666666666666
(got better strawberri mango yogurt pop dairyfre)=0.6666666666666666
(charleybeagl beaglemum coconut water oil spinach chia)=1.0
(wingstop •mi tummi rub •full bodi massag)=0.6666666666666666
(best sale brand handbag guess stevemadden bag)=0.6666666666666666
(mango worst theyv probabl pin jean make)=0.6666666666666666
(work les imag turbo commi aux ressourc)=0.6666666666666666
(friend miss day light shine bright ltyfound)=0.6666666666666666
(loadshed nochil guess imma eat supper nice)=1.0
(corner command mango cosplay ww like tweet)=0.6666666666666666
(manag doc town like pain manag like)=0.6666666666666666
(relearn smite didnt know attack speed loki)=0.6666666666666666
(anupamnawada vijaygoelbjp hello u mango sweet ask)=1.0
(better age selfi foto photo forev birthdaygirl)=0.6666666666666666
(good just spoil lil right perfum guess)=1.0
(scientist say reason peopl believ money buy)=0.6666666666666666
(ditto pet x mam gave load rag)=0.6666666666666666
(aww just wish big bro u know)=0.6666666666666666
(bodi big gonna happen dead bodi radioheadgo)=0.6666666666666666
(deliciouslyraw sweet potato lime coconut mango mkcuisin)=1.0
(alissaokada guess got ticket heyviolettroubador heyviolet renalov)=1.0
(connect guess simpli need smile hope enjoy)=0.6666666666666666
(spicier better indian restaur call mango tree)=0.6666666666666666
(gnarlyunicorn salem barrycinemat deep red reali masterpiec)=1.0
(toyota bmw week bodi transform high qualiti)=1.0
(pol parti train raw insurg mangoobsess prime)=0.6666666666666666
(year gonna reinstal window tonight guess stream)=0.6666666666666666
(start morn herbalif alo mango herbalif supplement)=1.0
(beckysbeast know just tri spend time hang)=1.0
(qhhschoir hairspray open tonight foley choir member)=1.0
(good night time coupl week sigh guess)=0.6666666666666666
(thought earli one emivirgin own guess that)=0.6666666666666666
(coolest women silicon valey meg whitman hpproud)=0.6666666666666666
(miss man week rag n bone man)=0.6666666666666666
(u just hand blue like look like)=0.6666666666666666
(banner say ice cream avail began request)=0.6666666666666666
(u frm d st tym saw u)=0.6666666666666666
(hah actual slept pretti good night time)=1.0
(pakistan eu lare wont impos ban mango)=0.6666666666666666
(night plan guess ill just listen woo)=0.6666666666666666
(ive get free food morn guess lunch)=1.0
(guess cover voucher doesnt realli make time)=0.6666666666666666
(common charcoal rice huskrub teeth half mango)=0.6666666666666666
(pnnamboo shubhambhuyaat chikchirp subodh common charcoal rice)=1.0
(factor audit fifth harmoni audit fav littl)=0.6666666666666666
(end abl speak vietnames im abl speak)=0.6666666666666666
(weekend blast what goto festiv outfit windsor)=1.0
(mango herbal toothpast thai siam spa whiten)=0.6666666666666666
(bell free app download nokia ns fan)=0.6666666666666666
(salem barrycinemat deep red reali masterpiec argento)=0.6666666666666666
(where mango syrup manahawkin nj store suppos)=0.6666666666666666
(ladder gone lie ladder start foul rag)=1.0
(call hunni guess shall stop rip cool)=0.6666666666666666
(shadesofread guess updat got hair untangl lost)=1.0
(just annoy want play weekend lol salt)=0.6666666666666666
(iamjiv aww just wish big bro u)=1.0
(mont mango juic liter pack sr fort)=0.6666666666666666
(valourrutiag california boy van tonyhawk airwalkonlin oakley)=1.0
(time come say hi almondbreezesa stand tri)=0.6666666666666666
(sassylibrarian lucythespenc love look reaction read d)=1.0
(veget masala potato spinach chickpea mango mushroom)=0.6666666666666666
(hudsonsbay best sale brand handbag guess stevemadden)=0.6666666666666666
(cocktail pineappl mango tripl sec cocktail relax)=1.0
(issu rais fund guess that governor jail)=0.6666666666666666
(nope sorri lana voic moani guess just)=1.0
(sushi mac n chees steak lasagn pbjs)=0.6666666666666666
(herrinlisa oh noooo guess complic tall amazon)=0.6666666666666666
(nace let make like mango sticki rice)=0.6666666666666666
(letti jorge taattiiaannaa im mango chip ado)=1.0
(heard suppos meet day god wish couldv)=1.0
(dead bodi big gonna happen dead bodi)=0.6666666666666666
(levi thank share luci love cute daytim)=0.6666666666666666
(guess modelcrush agnesbruckn envi man whos date)=0.6666666666666666
(yeah weather look lousi hope brighten bit)=0.6666666666666666
(lethalbizzl just deal la soul seasick steve)=0.6666666666666666
(im say tweet apositivemessag just video make)=0.6666666666666666
(omg let play world thought delet accid)=1.0
(fresh mango diabet ice cream favourit summer)=0.6666666666666666
(camerondalla omg guy guess im follow cam)=1.0
(throw away nwo shirt damn hulkhogan hero)=0.6666666666666666
(dat shit time ima rko ur ass)=0.6666666666666666
(day fear night radio minecraft fan challeng)=0.6666666666666666
(smiley actual miss star kind hint guess)=0.6666666666666666
(went mcdonald said blueberri pomegran pineappl mango)=1.0
(wergang gang gang levi listen smash singl)=1.0
(hbattl x factor audit fifth harmoni audit)=1.0
(spend day c u just hand blue)=0.6666666666666666
(save yaqub memon mango peopl keep die)=0.6666666666666666
(iphon iphonesleev iphon iphon plus sleev blueberri)=1.0
(mix atom sauc wingstop •mi tummi rub)=0.6666666666666666
(medium zucchini yellow squash ataulfo mango dice)=0.6666666666666666
(giant seed insid just tore fruit apart)=0.6666666666666666
(bad qualiti p guess eager asha pic)=0.6666666666666666
(say ice cream avail began request guess)=0.6666666666666666
(linievan guess set tomorrotoday im background costum)=1.0
(year today leg felt aw guess trade)=0.6666666666666666
(board harder thought myasshurt correct spell guess)=0.6666666666666666
(magicalmj dslmj mjsgirl randygirllif put near love)=1.0
(visit punjab human right want save yaqub)=0.6666666666666666
(didnt wanna loan guess ill take loan)=0.6666666666666666
(box mango art stationeri quot pablopicasso mango)=0.6666666666666666
(make sure old watch got guess im)=0.6666666666666666
(iphonesleev iphon iphon plus sleev blueberri mango)=0.6666666666666666
(sad start look good kaa lenni gonna)=0.6666666666666666
(pretend know your get guess that true)=0.6666666666666666
(guess coolest women silicon valey meg whitman)=1.0
(pmsk that number p guess book read)=1.0
(intsiplusvoid guess thing forgiven see age protocol)=1.0
(fuck nigga da goon jus pull gon)=0.6666666666666666
(season cast niti episod man request nitian)=0.6666666666666666
(good stuff guess better stay aliv play)=0.6666666666666666
(karilakefox im follow away k woohoo hey)=1.0
(graceamorand guess pass demo later im toooo)=1.0
(block oh poo guess stand tweet bless)=0.6666666666666666
(taattiiaannaa im mango chip ado anymor got)=0.6666666666666666
(game chocol treat work slgamingcon slgamingcon what)=0.6666666666666666
(street poverti rag bone man shout oi)=0.6666666666666666
(fllw willchamplini lve u frm d st)=0.6666666666666666
(omair found stringsonlin director debut actor guess)=1.0
(chicken nugget rag bone outsid window week)=0.6666666666666666
(man dead bodi big gonna happen dead)=0.6666666666666666
(said blueberri pomegran pineappl mango smoothi machin)=0.6666666666666666
(leav chines artist din du nuffin good)=0.6666666666666666
(starbuck barista tell fantast eyebrow new etern)=0.6666666666666666
(food morn guess lunch today haha love)=0.6666666666666666
(week bodi transform high qualiti membership site)=0.6666666666666666
(mrsshim hajojoxx iamminniee hhahahaha speechless d jyj)=1.0
(live japan ican read authent mango eat)=0.6666666666666666
(nigga da goon jus pull gon loosen)=0.6666666666666666
(just hand blue like look like funcreat)=0.6666666666666666
(ok tho cuz black dont crack mah)=0.6666666666666666
(morn ehplab oxyshr yummi mango fitbabessport lifteveryday)=0.6666666666666666
(look reaction read d guess befun lightheart)=0.6666666666666666
(wine better age selfi foto photo forev)=0.6666666666666666
(miley cyrus levi friend check like share)=1.0
(frm d st tym saw u n)=0.6666666666666666
(open caissepopulair account alphons desjardin home levi)=1.0
(stamour hire intervenantintervenant en servic social appli)=0.6666666666666666
(defendpp defundplannedparenthood life ccot tcot stop fund)=1.0
(frozen mango anna elsa unfit symbol confus)=0.6666666666666666
(la guess modelcrush agnesbruckn envi man whos)=0.6666666666666666
(dinah happi year fifth harmoni love girl)=1.0
(deep red reali masterpiec argento guess youll)=0.6666666666666666
(god someth wrong hospit time guess shut)=0.6666666666666666
(seed insid just tore fruit apart big)=0.6666666666666666
(maddei hous mango street think probabl worst)=1.0
(blend pc kefir ferment milk differ bacteri)=0.6666666666666666
(bird bird swan blackswan illustr movi poster)=0.6666666666666666
(femal friend offend call hunni guess shall)=1.0
(right want save yaqub memon mango peopl)=0.6666666666666666
(guess wont stream today pancak wont let)=0.6666666666666666
(time just day friend im liter obsess)=0.6666666666666666
(mode guess math branch casio scicalcul bestfriend)=0.6666666666666666
(work les servic gestion quantum limité manutentionnair)=0.6666666666666666
(grandstel your liter goal hope meet ari)=1.0
(ilianatsagdi harrystyl concert guess xx anyway fun)=1.0
(start look good kaa lenni gonna miss)=0.6666666666666666
(shit guess beachballkc cancel respect veteran veteran)=1.0
(nice guess there reason head town great)=0.6666666666666666
(skip set mango westballz felt tingl husband)=0.6666666666666666
(free food morn guess lunch today haha)=0.6666666666666666
(runewtaway dont know ur acc dedic sorri)=1.0
(im year old just mango time natur)=1.0
(wanna live japan ican read authent mango)=0.6666666666666666
(girl eat butt hotlin bling smell mango)=0.6666666666666666
(say sos friend just doesnt sound right)=0.6666666666666666
(wanna meet cat bad just tell mango)=1.0
(cake kailan ang libr mo chaaa loveyou)=0.6666666666666666
(final finish awesom littl sad robin barney)=0.6666666666666666
(smh wrong guess ill soon aw dont)=0.6666666666666666
(onedrectinfan proud fandom guy slay d jey)=1.0
(updat aldosho gilt springlaned levi jysklv join)=0.6666666666666666
(pehl bhi insecur abt der fav capac)=0.6666666666666666
(republ ramirez estat microlot cafekreyol im tast)=0.6666666666666666
(chantier davi canada hire contremaîtr – finit)=1.0
(slice roast flatbread chop veg green chilli)=0.6666666666666666
(huskrub teeth half mango leaf fold act)=0.6666666666666666
(yes lawd buffalowildw chicken grill mango lemonad)=1.0
(cup tea morn guess stori that happen)=0.6666666666666666
(tcot stop fund evil att levi docker)=0.6666666666666666
(sabich slice roast flatbread chop veg green)=1.0
(secret pop charact originalfunko wonder guess bring)=0.6666666666666666
(hey robyn abl hold big bottl vanilla)=0.6666666666666666
(check forthenight sa musician bluetooth ft gemini)=1.0
(wilsonbarberco hey robyn abl hold big bottl)=1.0
(u popcorn kernel broke bracket guess im)=0.6666666666666666
(great pictur north london hackney s quit)=1.0
(canada hire contremaîtr – finit levi appli)=0.6666666666666666
(sam tri mango time just day friend)=0.6666666666666666
(projet informatiqu need levi canada web appli)=0.6666666666666666
(lunch berber roast chicken mango pepper spici)=0.6666666666666666
(leejean hudsonjean bodyart jean meet art nakedartist)=0.6666666666666666
(mango summer im like olé wait meant)=0.6666666666666666
(pop cool caus walkin pant that cop)=0.6666666666666666
(mikesinatra theyr buggin yeiiowbang let guess raisin)=1.0
(restaur normandin look plongeurplongeus servic alimentair levi)=1.0
(lawd buffalowildw chicken grill mango lemonad mangolemonad)=0.6666666666666666
(lousi hope brighten bit lucki past year)=0.6666666666666666
(better indian restaur call mango tree special)=0.6666666666666666
(just doesnt sound right theyr just tighter)=0.6666666666666666
(winner th annual car raffl thank bought)=0.6666666666666666
(just wish big bro u know like)=0.6666666666666666
(ice tea mango popular tropic fruit unit)=0.6666666666666666
(lukesosloljok say sos friend just doesnt sound)=1.0
(im go end abl speak vietnames im)=0.6666666666666666
(theknowledg scientist say reason peopl believ money)=1.0
(indian project excit opportun guarante just need)=0.6666666666666666
(mango eo ccp rge produc tom vumath)=0.6666666666666666
(yes cut mango everyday famili bcs tanam)=0.6666666666666666
(cheesecak perfect day enjoy mango cheesecak cheesecak)=1.0
(adambatesd haha look pretti good adam guess)=1.0
(idk man mango juic just sound real)=1.0
(harrystyl concert guess xx anyway fun love)=0.6666666666666666
(got lone ticket welltodolondon event wait speak)=0.6666666666666666
(transform high qualiti membership site mango film)=0.6666666666666666
(asimighti trafficdxb guess time sell car good)=1.0
(eat indian food best friend tonight got)=0.6666666666666666
(gold wv membership valuabl join dawn levi)=0.6666666666666666
(spend miserablem guess cheaper smoke regular tobacco)=0.6666666666666666
(like pain manag like fear monger guess)=0.6666666666666666
(odd girl high school hang ku friend)=0.6666666666666666
(round scad boil spinach inat goat green)=0.6666666666666666
(im grate biggest problem life moment feet)=0.6666666666666666
(urban thing sip starbuck jennif spasm drop)=1.0
(night time coupl week sigh guess hour)=0.6666666666666666
(turbo commi aux ressourc humain stgeorg levi)=0.6666666666666666
(libertymutu nike morganstanley stop support plan parenthood)=0.6666666666666666
(goin bed kinda sad vv havent sad)=1.0
(pc kefir ferment milk differ bacteri cultur)=0.6666666666666666
(wow sorri hear hurt guess worri hold)=0.6666666666666666
(reganleahhh drink mango shit look hella good)=1.0
(steak lasagn pbjs mango cheeseburg garlic bread)=0.6666666666666666
(guess miss point want sex work sex)=0.6666666666666666
(chicken mango pepper spici coconut butter spread)=0.6666666666666666
(ther giant seed insid just tore fruit)=0.6666666666666666
(shit guess just broke mad twitter rant)=0.6666666666666666
(wearewakanda cosplay corner command mango cosplay ww)=0.6666666666666666
(memorieholiday guy video guess drug kind design)=1.0
(mozheart thank aw idk im just lame)=1.0
(pepsi starbuck verizonsupport wellsfargo ppact account well)=0.6666666666666666
(school himouto chan guess watch oremonotagri gansata)=0.6666666666666666
(guess ceomonth finalist chanc win euro acowaytowork)=1.0
(lasagn pbjs mango cheeseburg garlic bread garden)=0.6666666666666666
(habanero mix atom sauc wingstop •mi tummi)=0.6666666666666666
(ratpac guess indian project excit opportun guarante)=1.0
(fvaz guess rememb stick butterfli yeah care)=1.0
(excit opportun guarante just need financi support)=0.6666666666666666
(cri coz didnt includ question new video)=0.6666666666666666
(strawberri storm rip berri that your suppos)=0.6666666666666666
(sarahkendzior love refer obsess bob seger damn)=1.0
(clara otra video havent cri hard drive)=0.6666666666666666
(hai pehl bhi insecur abt der fav)=0.6666666666666666
(camftflor im say tweet apositivemessag just video)=1.0
(ice tea old town starbuck barista tell)=0.6666666666666666
(went eat indian food best friend tonight)=1.0
(rip lilphat gone way young bumpin levi)=1.0
(naturebox im eager tri mango almond bite)=0.6666666666666666
(just clear throat pass hint fuck wtf)=0.6666666666666666
(twitch prob better p interact opinion said)=0.6666666666666666
(friend great fun levi crazi duo violetknobel)=0.6666666666666666
(mango hurrican strawberri storm rip berri that)=0.6666666666666666
(growingupchines rag bone man aka karang guni)=1.0
(crab lobster cake mango salad happi lunch)=0.6666666666666666
(like melancholicsad song concert section aw dont)=0.6666666666666666
(serv like serv bout eat weight pineappl)=0.6666666666666666
